fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
2;3;0;0.0146;0;2196;2196;2196;0;0;1;-30;30
2;4;0;0.0173;0;1853;1853;1853;0.9545;0;1;-30;30
3;8;0.00179;0.01988;2.576;1606;1606;1606;0;0;1;-30;30
5;6;0;0.01238;0;2589;2589;2589;0;0;1;-30;30
5;11;0;0.015;0;2137;2137;2137;0;0;1;-30;30
17;5;0.00977;0.11;2;291;291;291;0;0;1;-30;30
5;160;0.00811;0.1369;2.4348;234;234;234;0;0;1;-30;30
7;8;0;0.011;0;2914;2914;2914;1.063;0;1;-30;30
7;8;0;0.011;0;2914;2914;2914;1.063;0;1;-30;30
7;28;0;0.00408;0;5501.81;7856;7856;0;0;1;-30;30
8;9;0;0.0059;0;5432;5432;5432;0;0;1;-30;30
8;10;0.00028;0.0138;0;2322;2322;2322;0;0;1;-30;30
8;10;0.00029;0.0139;0;2306;2306;2306;0;0;1;-30;30
8;17;0.0005;0.0053;0.0882;2202.27;6021;6021;0;0;1;-30;30
163;8;0.0048;0.0436;0.7078;731;731;731;0;0;1;-30;30
12;13;0;0.00666;0;4813;4813;4813;1.08;0;1;-30;30
12;20;0;0.00634;0;5055;5055;5055;0;0;1;-30;30
12;22;0;0.01188;0;2698;2698;2698;0;0;1;-30;30
12;139;0.0028;0.0211;1.0194;1506;1506;1506;0;0;1;-30;30
21;14;0;0.00634;0;5055;5055;5055;0;0;1;-30;30
14;24;0;0.00826;0;3880;3880;3880;0;0;1;-30;30
14;26;0;0.01795;0;1786;1786;1786;0;0;1;-30;30
29;14;0;0.00612;0;5237;5237;5237;0;0;1;-30;30
16;15;6.00E-05;0.00495;0;6474;6474;6474;1.1061;0;1;-30;30
16;19;0.0004;0.0096;0.9038;3336;3336;3336;0;0;1;-30;30
16;19;0.0004;0.0096;0.9038;3336;3336;3336;0;0;1;-30;30
16;136;0.00259;0.02967;2.153;1077;1077;1077;0;0;1;-30;30
16;136;0.00259;0.02967;2.153;1077;1077;1077;0;0;1;-30;30
17;18;0;0.006;0;5342;5342;5342;1.0435;0;1;-30;30
23;19;0;0.01188;0;2698;2698;2698;0;0;1;-30;30
25;19;0;0.00826;0;3880;3880;3880;0;0;1;-30;30
20;21;0.00077;0.01804;1.39842;1775;1775;1775;0;0;1;-30;30
22;23;0.00241;0.05865;4.8656;546;546;546;0;0;1;-30;30
24;25;0.00179;0.04244;3.3922;755;755;755;0;0;1;-30;30
26;27;0.00207;0.04959;3.9516;646;646;646;0;0;1;-30;30
27;139;0;0.01795;0;1786;1786;1786;0;0;1;-30;30
28;29;0.00177;0.04189;3.3446;765;765;765;0;0;1;-30;30
31;30;0;0.0015;0;21366;21366;21366;1.05;0;1;-30;30
31;32;0.0035;0.07;4.606;458;458;458;0;0;1;-30;30
31;80;0.00083;0.0239;3.3;1341;1341;1341;0;0;1;-30;30
32;33;0;0.01;0;3205;3205;3205;1.1;0;1;-30;30
33;34;0.002;0.02;0.8;855.66;1595;1595;0;0;1;-30;30
34;35;0;0.002;0;16025;16025;16025;0;0;1;-30;30
85;36;0;0.0046;0;6968;6968;6968;0;0;1;-30;30
37;38;0.00074;0.01861;1.40264;1721;1721;1721;0;0;1;-30;30
37;56;0.00082;0.01668;1.18802;1920;1920;1920;0;0;1;-30;30
37;64;0;0.00159;0.12002;5755.18;20157;20157;0;0;1;-30;30
37;64;0;0.00159;0.12002;5757.14;20157;20157;0;0;1;-30;30
38;48;0.00013;0.00693;0;4624;4624;4624;1.05;0;1;-30;30
39;40;0.0005;0.0238;0;1347;1347;1347;0;0;1;-30;30
39;46;0.00221;0.03346;0.07338;892.46;956;956;0;0;1;-30;30
39;48;0.0029;0.038;0.0824;841;841;841;0;0;1;-30;30
39;59;0.00309;0.04677;0.1008;684;684;684;0;0;1;-30;30
39;60;0.00226;0.03422;0.07506;832.1;935;935;0;0;1;-30;30
55;41;0.00047;0.00723;0.01624;754.41;4424;4424;0;0;1;-30;30
41;58;0.00035;0.00536;0.01204;822.58;5967;5967;0;0;1;-30;30
42;43;0.00058;0.02535;0;1264;1264;1264;1.0491;0;1;-30;30
50;42;0.0022;0.03422;0.07716;761.15;935;935;0;0;1;-30;30
50;42;0.00238;0.03669;0.08284;872;872;872;0;0;1;-30;30
57;42;0.00201;0.03074;0.06886;768.89;1041;1041;0;0;1;-30;30
42;58;0.00281;0.04296;0.09648;745;745;745;0;0;1;-30;30
44;45;0;0.0052;0;6164;6164;6164;1.025;0;1;-30;30
44;160;0.0018;0.0245;0.4392;1305;1305;1305;0;0;1;-30;30
44;160;0.0018;0.0245;0.4392;1305;1305;1305;0;0;1;-30;30
48;46;0.00029;0.00434;0.0095;841.15;7369;7369;0;0;1;-30;30
48;47;0.00499;0.11473;0;280;280;280;1.0478;0;1;-30;30
49;48;0.00026;0.01386;0;2312;2312;2312;1.05;0;1;-30;30
48;55;0.00229;0.01583;0.0306;855.66;2004;2004;0;0;1;-30;30
48;55;0.00229;0.01583;0.0306;905.33;2004;2004;0;0;1;-30;30
48;59;0.00141;0.00967;0.0194;772.89;3280;3280;0;0;1;-30;30
48;59;0.00141;0.00967;0.0194;912.29;3280;3280;0;0;1;-30;30
48;59;0.00161;0.00971;0.01928;763.48;3257;3257;0;0;1;-30;30
48;59;0.00161;0.00971;0.01928;911.69;3257;3257;0;0;1;-30;30
48;60;0.00027;0.00393;0.00918;837.06;8136;8136;0;0;1;-30;30
48;60;0.00027;0.00393;0.00918;783.45;8136;8136;0;0;1;-30;30
48;60;0.00027;0.00393;0.00918;804.85;8136;8136;0;0;1;-30;30
48;62;0.00138;0.01116;0.0247;758.56;2851;2851;0;0;1;-30;30
48;62;0.00138;0.01116;0.0247;759.88;2851;2851;0;0;1;-30;30
64;49;0.00083;0.01884;1.66668;1700;1700;1700;0;0;1;-30;30
50;57;0.00037;0.00366;0.0083;880.09;8713;8713;0;0;1;-30;30
50;58;0.00055;0.00586;0.01246;835.5;5446;5446;0;0;1;-30;30
52;51;0.00059;0.01491;0;2148;2148;2148;1.0017;0;1;-30;30
53;51;0.00059;0.01491;0;2148;2148;2148;1.0017;0;1;-30;30
54;51;0.0003;0.0133;0;2410;2410;2410;0;0;1;-30;30
54;51;0.0003;0.0134;0;2392;2392;2392;0;0;1;-30;30
52;63;0.0107;0.07905;0.3667;402;402;402;0;0;1;-30;30
53;63;0.0107;0.07905;0.3667;402;402;402;0;0;1;-30;30
57;54;0.00073;0.01025;0.02558;765.61;3119;3119;0;0;1;-30;30
57;54;0.00073;0.01025;0.02558;898.03;3119;3119;0;0;1;-30;30
56;55;0.00013;0.01386;0;2313;2313;2313;1.0106;0;1;-30;30
56;55;0.00013;0.01386;0;2313;2313;2313;1.0106;0;1;-30;30
55;58;0.00119;0.01244;0.02798;856.67;2565;2565;0;0;1;-30;30
55;58;0.00119;0.01244;0.02798;852.17;2565;2565;0;0;1;-30;30
62;55;0.00128;0.00979;0.0212;868.54;3246;3246;0;0;1;-30;30
57;58;0.0011;0.01189;0.02514;908.69;2684;2684;0;0;1;-30;30
60;61;0;0.00115;0;27869;27869;27869;1.0133;0;1;-30;30
137;61;0.0014;0.0264;0.102;848.66;1213;1213;0;0;1;-30;30
150;61;0.00065;0.01187;0.04672;913.99;2696;2696;0;0;1;-30;30
150;61;0.00065;0.01187;0.04672;773.57;2696;2696;0;0;1;-30;30
64;63;0.0002;0.02338;0;1371;1371;1371;0.9789;0;1;-30;30
139;64;0.00179;0.02524;0.53546;1267;1267;1267;0;0;1;-30;30
139;64;0.00179;0.02524;0.53546;1267;1267;1267;0;0;1;-30;30
142;64;0.0002;0.0041;0.2962;5830.69;7808;7808;0;0;1;-30;30
66;65;0;0.005;0;6410;6410;6410;1.09;0;1;-30;30
78;66;0.0007;0.074;4.87;434;434;434;0;0;1;-30;30
68;67;0.00089;0.0299;0;1072;1072;1072;0.9873;0;1;-30;30
69;68;0.0002;0.01181;0;2714;2714;2714;1.0238;0;1;-30;30
69;68;9.00E-05;0.00735;0;4361;4361;4361;1.0238;0;1;-30;30
68;70;0;0.01034;0;3100;3100;3100;1.0455;0;1;-30;30
68;71;6.00E-05;0.00131;0.00378;828.29;24439;24439;0;0;1;-30;30
68;71;6.00E-05;0.00116;0.00332;776.56;27592;27592;0;0;1;-30;30
69;72;1.00E-05;0.0003;0.01434;5711.04;106769;106769;0;0;1;-30;30
69;72;1.00E-05;0.0003;0.01844;5829.8;106769;106769;0;0;1;-30;30
69;76;0.00023;0.00451;0.3332;5923.31;7097;7097;0;0;1;-30;30
69;76;0.0002;0.00446;0.305;6169.99;7179;7179;0;0;1;-30;30
72;71;0;0.00221;0;14502;14502;14502;1.0234;0;1;-30;30
75;73;0.00179;0.01405;3.68;2263;2263;2263;0;0;1;-30;30
78;74;0.00113;0.02069;1.85526;1547;1547;1547;0;0;1;-30;30
75;76;0.00196;0.03304;1.88;969;969;969;0;0;1;-30;30
75;78;0.00142;0.02258;1.88;1417;1417;1417;0;0;1;-30;30
76;77;0;0.00375;0;8547;8547;8547;1.0977;0;1;-30;30
78;76;0.0012;0.02316;1.7152;1382;1382;1382;0;0;1;-30;30
78;76;0.0003;0.02;3.6;1603;1603;1603;0;0;1;-30;30
82;76;0.00063;0.01412;1.09756;2268;2268;2268;0;0;1;-30;30
82;76;0.00109;0.02408;1.55542;1330;1330;1330;0;0;1;-30;30
82;76;0.00108;0.02409;1.55348;1330;1330;1330;0;0;1;-30;30
80;78;0.0002;0.0082;1.3;3908;3908;3908;0;0;1;-30;30
80;78;0.0002;0.0082;1.3;3908;3908;3908;0;0;1;-30;30
80;79;0;0.0025;0;12820;12820;12820;1.066;0;1;-30;30
81;99;0.00264;0.05356;5.29066;598;598;598;0;0;1;-30;30
81;180;0;0.02667;0;1202;1202;1202;0;0;1;-30;30
82;87;0.00041;0.00737;0.72694;4342;4342;4342;0;0;1;-30;30
82;91;0.00066;0.01266;0.95976;2529;2529;2529;0;0;1;-30;30
82;95;0.00066;0.01266;0.95976;2529;2529;2529;0;0;1;-30;30
83;89;0.00072;0.01382;1.27572;2316;2316;2316;0;0;1;-30;30
94;83;0.00078;0.01502;1.1381;2131;2131;2131;0;0;1;-30;30
98;83;0.00074;0.01413;1.06634;2266;2266;2266;0;0;1;-30;30
83;168;0;0.0072;0;4452;4452;4452;0;0;1;-30;30
83;170;0;0.00864;0;3710;3710;3710;0;0;1;-30;30
83;172;0;0.01;0;3205;3205;3205;0;0;1;-30;30
84;85;0;0.0072;0;4452;4452;4452;1.05;0;1;-30;30
99;84;0;0.02667;0;1202;1202;1202;0;0;1;-30;30
156;85;0.0062;0.0673;1.1156;475;475;475;0;0;1;-30;30
88;86;0.0006;0.01036;1.01456;3089;3089;3089;0;0;1;-30;30
90;86;0.00012;0.00238;0.21926;5500.98;13449;13449;0;0;1;-30;30
180;86;0.00122;0.02373;2.2071;1349;1349;1349;0;0;1;-30;30
87;88;0;0.01263;0;2538;2538;2538;0;0;1;-30;30
89;90;0;0.00858;0;3736;3736;3736;0;0;1;-30;30
91;92;0;0.01263;0;2538;2538;2538;0;0;1;-30;30
92;93;0.00074;0.01428;1.0822;2242;2242;2242;0;0;1;-30;30
93;94;0;0.01263;0;2538;2538;2538;0;0;1;-30;30
95;96;0;0.01263;0;2538;2538;2538;0;0;1;-30;30
96;97;0.00074;0.01428;1.0822;2242;2242;2242;0;0;1;-30;30
97;98;0;0.01263;0;2538;2538;2538;0;0;1;-30;30
101;100;0.02482;0.16938;0.20232;188;188;188;0;0;1;-30;30
100;117;0.0148;0.10101;0.12066;314;314;314;0;0;1;-30;30
101;105;0.01382;0.09268;0.1106;343;343;343;0;0;1;-30;30
101;106;0.01668;0.11381;0.13608;279;279;279;0;0;1;-30;30
101;113;0.01113;0.06678;0.07286;474;474;474;0;0;1;-30;30
101;113;0.0105;0.0654;0.0686;484;484;484;0;0;1;-30;30
101;113;0.01105;0.06642;0.0716;476;476;476;0;0;1;-30;30
101;117;0.03903;0.27403;0.31072;116;116;116;0;0;1;-30;30
102;103;0;0.0098;0;3271;3271;3271;1.05;0;1;-30;30
104;102;0.00079;0.01937;1.3285;1654;1654;1654;0;0;1;-30;30
102;108;0.00087;0.02087;1.4571;1535;1535;1535;0;0;1;-30;30
102;108;0.00087;0.02087;1.4571;1535;1535;1535;0;0;1;-30;30
107;104;0.00083;0.01985;0;1614;1614;1614;0;0;1;-30;30
134;104;0.00093;0.03644;1.3895;880;880;880;0;0;1;-30;30
104;135;0.00072;0.016;1.0879;2002;2002;2002;0;0;1;-30;30
105;117;0.03058;0.2046;0.24472;155;155;155;0;0;1;-30;30
106;117;0.02235;0.16106;0.18342;198;198;198;0;0;1;-30;30
107;108;0.00153;0.0147;0;2169;2169;2169;0;0;1;-30;30
110;107;0.00053;0.01297;0;2469;2469;2469;0;0;1;-30;30
109;108;0;0.0174;0;1842;1842;1842;1.119;0;1;-30;30
109;108;0;0.0119;0;2694;2694;2694;1.119;0;1;-30;30
133;108;2.00E-05;0.01331;0;2408;2408;2408;0;0;1;-30;30
135;108;2.00E-05;0.00998;0;3212;3212;3212;0;0;1;-30;30
108;174;0;0.00935;0;3428;3428;3428;0;0;1;-30;30
108;176;0;0.00944;0;3395;3395;3395;0;0;1;-30;30
108;178;0;0.00935;0;3428;3428;3428;0;0;1;-30;30
111;120;0;0.01;0;3205;3205;3205;0;0;1;-30;30
173;111;0;0.01;0;3205;3205;3205;0;0;1;-30;30
112;113;0;0.02281;0;1406;1406;1406;0.9174;0;1;-30;30
113;114;0.0001;0.0174;0;1842;1842;1842;1.119;0;1;-30;30
114;124;2.00E-05;0.00998;0;3212;3212;3212;0;0;1;-30;30
114;126;2.00E-05;0.00998;0;3212;3212;3212;0;0;1;-30;30
169;114;0;0.0072;0;4452;4452;4452;0;0;1;-30;30
171;114;0;0.0072;0;4452;4452;4452;0;0;1;-30;30
125;115;1.00E-05;0.00666;0;4813;4813;4813;0;0;1;-30;30
127;115;1.00E-05;0.00666;0;4813;4813;4813;0;0;1;-30;30
115;128;1.00E-05;0.0112;0;2862;2862;2862;0;0;1;-30;30
115;130;1.00E-05;0.0072;0;4452;4452;4452;0;0;1;-30;30
116;117;0;0.01815;0;1766;1766;1766;0.9091;0;1;-30;30
117;119;0.0002;0.0125;0;2564;2564;2564;1.119;0;1;-30;30
118;119;0;0.00448;0;7154;7154;7154;0.9452;0;1;-30;30
123;119;0;0.01;0;3205;3205;3205;0;0;1;-30;30
129;119;1.00E-05;0.0112;0;2862;2862;2862;0;0;1;-30;30
131;119;1.00E-05;0.0036;0;5209.14;8903;8903;0;0;1;-30;30
119;132;1.00E-05;0.00755;0;4245;4245;4245;0;0;1;-30;30
119;134;1.00E-05;0.01098;0;2919;2919;2919;0;0;1;-30;30
120;121;0.00076;0.01952;1.8245;1641;1641;1641;0;0;1;-30;30
121;122;0;0.01;0;3205;3205;3205;0;0;1;-30;30
122;123;0.00082;0.02119;1.9842;1512;1512;1512;0;0;1;-30;30
124;125;0.0014;0.02338;1.475;1369;1369;1369;0;0;1;-30;30
126;127;0.0014;0.02338;1.475;1369;1369;1369;0;0;1;-30;30
128;129;0.00154;0.03409;2.3114;940;940;940;0;0;1;-30;30
130;131;0.00095;0.02102;1.4252;1524;1524;1524;0;0;1;-30;30
132;133;0.00165;0.05719;2.4774;561;561;561;0;0;1;-30;30
136;152;0.00042;0.00905;0.66794;3538;3538;3538;0;0;1;-30;30
137;143;0.0019;0.0258;0.0984;911.65;1239;1239;0;0;1;-30;30
137;150;0.00845;0.07034;0.15954;453;453;453;0;0;1;-30;30
138;139;0;0.01512;0;2120;2120;2120;0.996;0;1;-30;30
139;142;0.00193;0.02779;4.6712;1151;1151;1151;0;0;1;-30;30
147;139;0.00056;0.01415;1.0429;2264;2264;2264;0;0;1;-30;30
140;141;0;0.00365;0;8781;8781;8781;0.9787;0;1;-30;30
141;143;0.0011;0.0127;0.048;859.21;2515;2515;0;0;1;-30;30
142;145;0.00028;0.00753;0.51736;4254;4254;4254;0;0;1;-30;30
142;145;0.00035;0.0075;0.5536;4269;4269;4269;0;0;1;-30;30
142;147;0.0019;0.031;4.1402;1032;1032;1032;0;0;1;-30;30
142;151;0.0006;0.0128;0.9462;2502;2502;2502;0;0;1;-30;30
142;153;0.00044;0.01125;0.8292;2847;2847;2847;0;0;1;-30;30
142;153;0.00044;0.01125;0.8292;2847;2847;2847;0;0;1;-30;30
146;143;0.00138;0.05399;0.15252;594;594;594;0;0;1;-30;30
154;143;0.0032;0.0395;0.144;754.67;809;809;0;0;1;-30;30
144;145;0;0.00516;0;6211;6211;6211;0.9843;0;1;-30;30
145;146;0;0.005;0;6410;6410;6410;0;0;1;-30;30
145;151;0.00021;0.00457;0.32336;5370.29;7006;7006;0;0;1;-30;30
147;148;0;0.0098;0;3271;3271;3271;1.05;0;1;-30;30
149;150;0;0.01026;0;3124;3124;3124;0.9871;0;1;-30;30
150;154;0.00285;0.03649;0.12656;876;876;876;0;0;1;-30;30
150;154;0.00138;0.03399;0.11252;873.01;943;943;0;0;1;-30;30
151;152;0.0004;0.0093;0.6856;3443;3443;3443;0;0;1;-30;30
153;154;0;0.01149;0;2790;2790;2790;1.0631;0;1;-30;30
153;154;0;0.01149;0;2790;2790;2790;1.0631;0;1;-30;30
153;154;0;0.01149;0;2790;2790;2790;1.0631;0;1;-30;30
175;153;0;0.00935;0;3428;3428;3428;0;0;1;-30;30
177;153;0;0.00935;0;3428;3428;3428;0;0;1;-30;30
179;153;0;0.0084;0;3816;3816;3816;0;0;1;-30;30
156;155;0.0024;0.0332;0.5849;963;963;963;0;0;1;-30;30
155;158;0.0052;0.0602;1.01;531;531;531;0;0;1;-30;30
155;158;0.0049;0.0537;0.8843;595;595;595;0;0;1;-30;30
155;160;0.0017;0.0225;0.3992;1421;1421;1421;0;0;1;-30;30
155;160;0.0021;0.0238;0.3845;1342;1342;1342;0;0;1;-30;30
155;165;0.0012;0.0172;0.2987;1859;1859;1859;0;0;1;-30;30
155;167;0.0008;0.0106;0.2039;2253.37;3015;3015;0;0;1;-30;30
156;157;0.0003;0.0181;0;1771;1771;1771;0;0;1;-30;30
156;167;0.0016;0.0226;0.381;1415;1415;1415;0;0;1;-30;30
157;161;0.0108;0.0965;0.3296;331;331;331;0;0;1;-30;30
158;159;0.0002;0.0058;0;5523;5523;5523;0.9855;0;1;-30;30
158;164;0.0096;0.0878;1.4265;363;363;363;0;0;1;-30;30
158;165;0.0034;0.0392;0.6524;815;815;815;0;0;1;-30;30
158;166;0.0034;0.0374;0.6208;854;854;854;0;0;1;-30;30
158;166;0.0034;0.0372;0.6182;858;858;858;0;0;1;-30;30
160;166;0.0038;0.034;0.5824;937;937;937;0;0;1;-30;30
160;166;0.0032;0.0349;0.5722;915;915;915;0;0;1;-30;30
161;162;0.0005;0.0141;0;2272;2272;2272;1.0588;0;1;-30;30
164;163;0;0.0195;0;1644;1644;1644;0;0;1;-30;30
168;169;0.00103;0.02338;1.5804;1370;1370;1370;0;0;1;-30;30
170;171;0.00107;0.0247;1.527;1297;1297;1297;0;0;1;-30;30
172;173;0.00103;0.0323;2.796;992;992;992;0;0;1;-30;30
174;175;0.00123;0.02659;1.98702;1204;1204;1204;0;0;1;-30;30
176;177;0.00123;0.02662;1.9888;1203;1203;1203;0;0;1;-30;30
178;179;0.00112;0.02517;1.83586;1273;1273;1273;0;0;1;-30;30
